"PERIOD";"COMPONENT";"MEASURE";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"STATUS";"UNIT_MEASURE"
2015;"ALV+SH+IV";"in % ALV";"Total";"Total";"18-24";0.0128;"A";"%"
2015;"ALV+SH+IV";"in % SH";"Total";"Total";"18-24";0.0197;"A";"%"
2015;"ALV+SH+IV";"in % IV";"Total";"Total";"18-24";0.0558;"A";"%"
2015;"ALV+SH+IV";"Absolut";"Total";"Total";"25-39";12;"A";"n"
2015;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.0056;"A";"%"
2015;"ALV+SH+IV";"in % ALV";"Total";"Total";"25-39";0.0093;"A";"%"
2015;"ALV+SH+IV";"in % SH";"Total";"Total";"25-39";0.0187;"A";"%"
2015;"ALV+SH+IV";"in % IV";"Total";"Total";"25-39";0.0342;"A";"%"
2015;"ALV+SH+IV";"Absolut";"Total";"Total";"40-54";34;"A";"n"
2015;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.0141;"A";"%"
2015;"ALV+SH+IV";"in % ALV";"Total";"Total";"40-54";0.0327;"A";"%"
2015;"ALV+SH+IV";"in % SH";"Total";"Total";"40-54";0.0527;"A";"%"
2015;"ALV+SH+IV";"in % IV";"Total";"Total";"40-54";0.0394;"A";"%"
2015;"ALV+SH+IV";"Absolut";"Total";"Total";"55-65";24;"A";"n"
2015;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.0138;"A";"%"
2015;"ALV+SH+IV";"in % ALV";"Total";"Total";"55-65";0.0562;"A";"%"
2015;"ALV+SH+IV";"in % SH";"Total";"Total";"55-65";0.083;"A";"%"
2015;"ALV+SH+IV";"in % IV";"Total";"Total";"55-65";0.0221;"A";"%"
2014;"Total";"Absolut";"Total";"Total";"Total";21375;"R";"n"
2014;"Total";"in % aller Beziehenden";"Total";"Total";"Total";3.1141;"R";"%"
2014;"Total";"Absolut";"M";"Total";"Total";11149;"R";"n"
2014;"Total";"in % aller Beziehenden";"M";"Total";"Total";3.044;"R";"%"
2014;"Total";"Absolut";"F";"Total";"Total";10226;"R";"n"
2014;"Total";"in % aller Beziehenden";"F";"Total";"Total";3.1943;"R";"%"
2014;"Total";"Absolut";"Total";"CH";"Total";12415;"R";"n"
2014;"Total";"in % aller Beziehenden";"Total";"CH";"Total";2.9067;"R";"%"
2014;"Total";"Absolut";"Total";"AUSL";"Total";8960;"R";"n"
2014;"Total";"in % aller Beziehenden";"Total";"AUSL";"Total";3.4558;"R";"%"
2014;"Total";"Absolut";"Total";"Total";"18-24";2270;"R";"n"
2014;"Total";"in % aller Beziehenden";"Total";"Total";"18-24";3.3355;"R";"%"
2014;"Total";"Absolut";"Total";"Total";"25-39";7044;"R";"n"
2014;"Total";"in % aller Beziehenden";"Total";"Total";"25-39";3.3855;"R";"%"
2014;"Total";"Absolut";"Total";"Total";"40-54";7900;"R";"n"
2014;"Total";"in % aller Beziehenden";"Total";"Total";"40-54";3.2932;"R";"%"
2014;"Total";"Absolut";"Total";"Total";"55-65";4161;"R";"n"
2014;"Total";"in % aller Beziehenden";"Total";"Total";"55-65";2.442;"R";"%"
