"PERIOD";"COMPONENT";"MEASURE";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"STATUS";"UNIT_MEASURE"
2013;"ALV+IV";"in % IV";"Total";"Total";"Total";1.1031;"A";"%"
2013;"ALV+IV";"Absolut";"M";"Total";"Total";1444;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"M";"Total";"Total";0.3997;"A";"%"
2013;"ALV+IV";"in % ALV";"M";"Total";"Total";0.8933;"A";"%"
2013;"ALV+IV";"in % IV";"M";"Total";"Total";1.0919;"A";"%"
2013;"ALV+IV";"Absolut";"F";"Total";"Total";1281;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"F";"Total";"Total";0.4027;"A";"%"
2013;"ALV+IV";"in % ALV";"F";"Total";"Total";0.9675;"A";"%"
2013;"ALV+IV";"in % IV";"F";"Total";"Total";1.1161;"A";"%"
2013;"ALV+IV";"Absolut";"Total";"CH";"Total";2058;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"Total";"CH";"Total";0.4838;"A";"%"
2013;"ALV+IV";"in % ALV";"Total";"CH";"Total";1.2666;"A";"%"
2013;"ALV+IV";"in % IV";"Total";"CH";"Total";1.077;"A";"%"
2013;"ALV+IV";"Absolut";"Total";"AUSL";"Total";667;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.2627;"A";"%"
2013;"ALV+IV";"in % ALV";"Total";"AUSL";"Total";0.507;"A";"%"
2013;"ALV+IV";"in % IV";"Total";"AUSL";"Total";1.1927;"A";"%"
2013;"ALV+IV";"Absolut";"Total";"Total";"18-24";114;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.1656;"A";"%"
2013;"ALV+IV";"in % ALV";"Total";"Total";"18-24";0.2974;"A";"%"
2013;"ALV+IV";"in % IV";"Total";"Total";"18-24";1.3008;"A";"%"
2013;"ALV+IV";"Absolut";"Total";"Total";"25-39";390;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.1913;"A";"%"
2013;"ALV+IV";"in % ALV";"Total";"Total";"25-39";0.3251;"A";"%"
2013;"ALV+IV";"in % IV";"Total";"Total";"25-39";1.1171;"A";"%"
2013;"ALV+IV";"Absolut";"Total";"Total";"40-54";1109;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.4651;"A";"%"
2013;"ALV+IV";"in % ALV";"Total";"Total";"40-54";1.1389;"A";"%"
2013;"ALV+IV";"in % IV";"Total";"Total";"40-54";1.1948;"A";"%"
2013;"ALV+IV";"Absolut";"Total";"Total";"55-65";1112;"A";"n"
2013;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.6613;"A";"%"
2013;"ALV+IV";"in % ALV";"Total";"Total";"55-65";2.8977;"A";"%"
2013;"ALV+IV";"in % IV";"Total";"Total";"55-65";1.0061;"A";"%"
2013;"SH+IV";"Absolut";"Total";"Total";"Total";6778;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.9977;"A";"%"
2013;"SH+IV";"in % SH";"Total";"Total";"Total";3.8708;"A";"%"
2013;"SH+IV";"in % IV";"Total";"Total";"Total";2.7439;"A";"%"
2013;"SH+IV";"Absolut";"M";"Total";"Total";3683;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"M";"Total";"Total";1.0195;"A";"%"
2013;"SH+IV";"in % SH";"M";"Total";"Total";4.2151;"A";"%"
2013;"SH+IV";"in % IV";"M";"Total";"Total";2.785;"A";"%"
2013;"SH+IV";"Absolut";"F";"Total";"Total";3095;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"F";"Total";"Total";0.9729;"A";"%"
2013;"SH+IV";"in % SH";"F";"Total";"Total";3.5279;"A";"%"
2013;"SH+IV";"in % IV";"F";"Total";"Total";2.6965;"A";"%"
2013;"SH+IV";"Absolut";"Total";"CH";"Total";4388;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"Total";"CH";"Total";1.0315;"A";"%"
2013;"SH+IV";"in % SH";"Total";"CH";"Total";4.7257;"A";"%"
2013;"SH+IV";"in % IV";"Total";"CH";"Total";2.2962;"A";"%"
2013;"SH+IV";"Absolut";"Total";"AUSL";"Total";2390;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.9412;"A";"%"
2013;"SH+IV";"in % SH";"Total";"AUSL";"Total";2.9057;"A";"%"
2013;"SH+IV";"in % IV";"Total";"AUSL";"Total";4.2736;"A";"%"
2013;"SH+IV";"Absolut";"Total";"Total";"18-24";402;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.5841;"A";"%"
2013;"SH+IV";"in % SH";"Total";"Total";"18-24";1.5444;"A";"%"
2013;"SH+IV";"in % IV";"Total";"Total";"18-24";4.5869;"A";"%"
2013;"SH+IV";"Absolut";"Total";"Total";"25-39";1487;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.7292;"A";"%"
2013;"SH+IV";"in % SH";"Total";"Total";"25-39";2.4071;"A";"%"
2013;"SH+IV";"in % IV";"Total";"Total";"25-39";4.2592;"A";"%"
2013;"SH+IV";"Absolut";"Total";"Total";"40-54";2963;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";1.2427;"A";"%"
2013;"SH+IV";"in % SH";"Total";"Total";"40-54";4.7885;"A";"%"
2013;"SH+IV";"in % IV";"Total";"Total";"40-54";3.1923;"A";"%"
2013;"SH+IV";"Absolut";"Total";"Total";"55-65";1926;"A";"n"
2013;"SH+IV";"in % aller Beziehenden";"Total";"Total";"55-65";1.1453;"A";"%"
2013;"SH+IV";"in % SH";"Total";"Total";"55-65";7.5761;"A";"%"
2013;"SH+IV";"in % IV";"Total";"Total";"55-65";1.7426;"A";"%"
2013;"ALV+SH+IV";"Absolut";"Total";"Total";"Total";62;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.0091;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"Total";"Total";"Total";0.0211;"A";"%"
2013;"ALV+SH+IV";"in % SH";"Total";"Total";"Total";0.0354;"A";"%"
2013;"ALV+SH+IV";"in % IV";"Total";"Total";"Total";0.0251;"A";"%"
2013;"ALV+SH+IV";"Absolut";"M";"Total";"Total";35;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"M";"Total";"Total";0.0097;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"M";"Total";"Total";0.0217;"A";"%"
2013;"ALV+SH+IV";"in % SH";"M";"Total";"Total";0.0401;"A";"%"
2013;"ALV+SH+IV";"in % IV";"M";"Total";"Total";0.0265;"A";"%"
2013;"ALV+SH+IV";"Absolut";"F";"Total";"Total";27;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"F";"Total";"Total";0.0085;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"F";"Total";"Total";0.0204;"A";"%"
2013;"ALV+SH+IV";"in % SH";"F";"Total";"Total";0.0308;"A";"%"
2013;"ALV+SH+IV";"in % IV";"F";"Total";"Total";0.0235;"A";"%"
2013;"ALV+SH+IV";"Absolut";"Total";"CH";"Total";44;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"Total";"CH";"Total";0.0103;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"Total";"CH";"Total";0.0271;"A";"%"
2013;"ALV+SH+IV";"in % SH";"Total";"CH";"Total";0.0474;"A";"%"
2013;"ALV+SH+IV";"in % IV";"Total";"CH";"Total";0.023;"A";"%"
2013;"ALV+SH+IV";"Absolut";"Total";"AUSL";"Total";18;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.0071;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"Total";"AUSL";"Total";0.0137;"A";"%"
2013;"ALV+SH+IV";"in % SH";"Total";"AUSL";"Total";0.0219;"A";"%"
2013;"ALV+SH+IV";"in % IV";"Total";"AUSL";"Total";0.0322;"A";"%"
2013;"ALV+SH+IV";"Absolut";"Total";"Total";"18-24";7;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.0102;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"Total";"Total";"18-24";0.0183;"A";"%"
2013;"ALV+SH+IV";"in % SH";"Total";"Total";"18-24";0.0269;"A";"%"
2013;"ALV+SH+IV";"in % IV";"Total";"Total";"18-24";0.0799;"A";"%"
2013;"ALV+SH+IV";"Absolut";"Total";"Total";"25-39";12;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.0059;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"Total";"Total";"25-39";0.01;"A";"%"
2013;"ALV+SH+IV";"in % SH";"Total";"Total";"25-39";0.0194;"A";"%"
2013;"ALV+SH+IV";"in % IV";"Total";"Total";"25-39";0.0344;"A";"%"
2013;"ALV+SH+IV";"Absolut";"Total";"Total";"40-54";30;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.0126;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"Total";"Total";"40-54";0.0308;"A";"%"
2013;"ALV+SH+IV";"in % SH";"Total";"Total";"40-54";0.0485;"A";"%"
2013;"ALV+SH+IV";"in % IV";"Total";"Total";"40-54";0.0323;"A";"%"
2013;"ALV+SH+IV";"Absolut";"Total";"Total";"55-65";13;"A";"n"
2013;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.0077;"A";"%"
2013;"ALV+SH+IV";"in % ALV";"Total";"Total";"55-65";0.0339;"A";"%"
2013;"ALV+SH+IV";"in % SH";"Total";"Total";"55-65";0.0511;"A";"%"
2013;"ALV+SH+IV";"in % IV";"Total";"Total";"55-65";0.0118;"A";"%"
2012;"Total";"Absolut";"Total";"Total";"Total";22939;"R";"n"
2012;"Total";"in % aller Beziehenden";"Total";"Total";"Total";3.4771;"R";"%"
2012;"Total";"Absolut";"M";"Total";"Total";11878;"R";"n"
2012;"Total";"in % aller Beziehenden";"M";"Total";"Total";3.4142;"R";"%"
2012;"Total";"Absolut";"F";"Total";"Total";11061;"R";"n"
2012;"Total";"in % aller Beziehenden";"F";"Total";"Total";3.5473;"R";"%"
2012;"Total";"Absolut";"Total";"CH";"Total";13443;"R";"n"
2012;"Total";"in % aller Beziehenden";"Total";"CH";"Total";3.2154;"R";"%"
2012;"Total";"Absolut";"Total";"AUSL";"Total";9496;"R";"n"
2012;"Total";"in % aller Beziehenden";"Total";"AUSL";"Total";3.9301;"R";"%"
2012;"Total";"Absolut";"Total";"Total";"18-24";2472;"R";"n"
2012;"Total";"in % aller Beziehenden";"Total";"Total";"18-24";3.659;"R";"%"
2012;"Total";"Absolut";"Total";"Total";"25-39";7398;"R";"n"
2012;"Total";"in % aller Beziehenden";"Total";"Total";"25-39";3.8337;"R";"%"
2012;"Total";"Absolut";"Total";"Total";"40-54";8701;"R";"n"
2012;"Total";"in % aller Beziehenden";"Total";"Total";"40-54";3.7369;"R";"%"
2012;"Total";"Absolut";"Total";"Total";"55-65";4368;"R";"n"
2012;"Total";"in % aller Beziehenden";"Total";"Total";"55-65";2.6259;"R";"%"
2012;"ALV+SH";"Absolut";"Total";"Total";"Total";12883;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"Total";1.9528;"A";"%"
2012;"ALV+SH";"in % ALV";"Total";"Total";"Total";4.6517;"A";"%"
2012;"ALV+SH";"in % SH";"Total";"Total";"Total";7.6411;"A";"%"
2012;"ALV+SH";"Absolut";"M";"Total";"Total";6427;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"M";"Total";"Total";1.8474;"A";"%"
2012;"ALV+SH";"in % ALV";"M";"Total";"Total";4.3065;"A";"%"
2012;"ALV+SH";"in % SH";"M";"Total";"Total";7.6559;"A";"%"
2012;"ALV+SH";"Absolut";"F";"Total";"Total";6456;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"F";"Total";"Total";2.0705;"A";"%"
2012;"ALV+SH";"in % ALV";"F";"Total";"Total";5.0551;"A";"%"
2012;"ALV+SH";"in % SH";"F";"Total";"Total";7.6264;"A";"%"
2012;"ALV+SH";"Absolut";"Total";"CH";"Total";6594;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"Total";"CH";"Total";1.5772;"A";"%"
2012;"ALV+SH";"in % ALV";"Total";"CH";"Total";4.2475;"A";"%"
2012;"ALV+SH";"in % SH";"Total";"CH";"Total";7.2936;"A";"%"
2012;"ALV+SH";"Absolut";"Total";"AUSL";"Total";6289;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"Total";"AUSL";"Total";2.6028;"A";"%"
2012;"ALV+SH";"in % ALV";"Total";"AUSL";"Total";5.1673;"A";"%"
2012;"ALV+SH";"in % SH";"Total";"AUSL";"Total";8.0429;"A";"%"
2012;"ALV+SH";"Absolut";"Total";"Total";"18-24";1904;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"18-24";2.8183;"A";"%"
2012;"ALV+SH";"in % ALV";"Total";"Total";"18-24";5.0505;"A";"%"
2012;"ALV+SH";"in % SH";"Total";"Total";"18-24";7.4497;"A";"%"
2012;"ALV+SH";"Absolut";"Total";"Total";"25-39";5424;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"25-39";2.8108;"A";"%"
2012;"ALV+SH";"in % ALV";"Total";"Total";"25-39";4.8717;"A";"%"
2012;"ALV+SH";"in % SH";"Total";"Total";"25-39";9.1736;"A";"%"
2012;"ALV+SH";"Absolut";"Total";"Total";"40-54";4416;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"40-54";1.8966;"A";"%"
2012;"ALV+SH";"in % ALV";"Total";"Total";"40-54";4.8377;"A";"%"
2012;"ALV+SH";"in % SH";"Total";"Total";"40-54";7.3636;"A";"%"
2012;"ALV+SH";"Absolut";"Total";"Total";"55-65";1139;"A";"n"
2012;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"55-65";0.6847;"A";"%"
2012;"ALV+SH";"in % ALV";"Total";"Total";"55-65";3.1091;"A";"%"
2012;"ALV+SH";"in % SH";"Total";"Total";"55-65";4.7565;"A";"%"
2012;"ALV+IV";"Absolut";"Total";"Total";"Total";2901;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.4397;"A";"%"
2012;"ALV+IV";"in % ALV";"Total";"Total";"Total";1.0475;"A";"%"
2012;"ALV+IV";"in % IV";"Total";"Total";"Total";1.154;"A";"%"
2012;"ALV+IV";"Absolut";"M";"Total";"Total";1536;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"M";"Total";"Total";0.4415;"A";"%"
2012;"ALV+IV";"in % ALV";"M";"Total";"Total";1.0292;"A";"%"
2012;"ALV+IV";"in % IV";"M";"Total";"Total";1.1387;"A";"%"
2012;"ALV+IV";"Absolut";"F";"Total";"Total";1365;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"F";"Total";"Total";0.4378;"A";"%"
2012;"ALV+IV";"in % ALV";"F";"Total";"Total";1.0688;"A";"%"
2012;"ALV+IV";"in % IV";"F";"Total";"Total";1.1717;"A";"%"
2012;"ALV+IV";"Absolut";"Total";"CH";"Total";2172;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"Total";"CH";"Total";0.5195;"A";"%"
2012;"ALV+IV";"in % ALV";"Total";"CH";"Total";1.3991;"A";"%"
2012;"ALV+IV";"in % IV";"Total";"CH";"Total";1.1194;"A";"%"
2012;"ALV+IV";"Absolut";"Total";"AUSL";"Total";729;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.3017;"A";"%"
2012;"ALV+IV";"in % ALV";"Total";"AUSL";"Total";0.599;"A";"%"
2012;"ALV+IV";"in % IV";"Total";"AUSL";"Total";1.2711;"A";"%"
2012;"ALV+IV";"Absolut";"Total";"Total";"18-24";123;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.1821;"A";"%"
2012;"ALV+IV";"in % ALV";"Total";"Total";"18-24";0.3263;"A";"%"
2012;"ALV+IV";"in % IV";"Total";"Total";"18-24";1.4141;"A";"%"
2012;"ALV+IV";"Absolut";"Total";"Total";"25-39";409;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.2119;"A";"%"
2012;"ALV+IV";"in % ALV";"Total";"Total";"25-39";0.3674;"A";"%"
2012;"ALV+IV";"in % IV";"Total";"Total";"25-39";1.1647;"A";"%"
2012;"ALV+IV";"Absolut";"Total";"Total";"40-54";1166;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.5008;"A";"%"
2012;"ALV+IV";"in % ALV";"Total";"Total";"40-54";1.2773;"A";"%"
2012;"ALV+IV";"in % IV";"Total";"Total";"40-54";1.2221;"A";"%"
2012;"ALV+IV";"Absolut";"Total";"Total";"55-65";1203;"A";"n"
2012;"ALV+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.7232;"A";"%"
2012;"ALV+IV";"in % ALV";"Total";"Total";"55-65";3.2838;"A";"%"
2012;"ALV+IV";"in % IV";"Total";"Total";"55-65";1.0726;"A";"%"
2012;"SH+IV";"Absolut";"Total";"Total";"Total";7225;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"Total";"Total";"Total";1.0952;"A";"%"
2012;"SH+IV";"in % SH";"Total";"Total";"Total";4.2853;"A";"%"
2012;"SH+IV";"in % IV";"Total";"Total";"Total";2.874;"A";"%"
2012;"SH+IV";"Absolut";"M";"Total";"Total";3959;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"M";"Total";"Total";1.138;"A";"%"
2012;"SH+IV";"in % SH";"M";"Total";"Total";4.716;"A";"%"
2012;"SH+IV";"in % IV";"M";"Total";"Total";2.9349;"A";"%"
2012;"SH+IV";"Absolut";"F";"Total";"Total";3266;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"F";"Total";"Total";1.0474;"A";"%"
2012;"SH+IV";"in % SH";"F";"Total";"Total";3.8581;"A";"%"
2012;"SH+IV";"in % IV";"F";"Total";"Total";2.8036;"A";"%"
2012;"SH+IV";"Absolut";"Total";"CH";"Total";4733;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"Total";"CH";"Total";1.1321;"A";"%"
2012;"SH+IV";"in % SH";"Total";"CH";"Total";5.2352;"A";"%"
2012;"SH+IV";"in % IV";"Total";"CH";"Total";2.4392;"A";"%"
2012;"SH+IV";"Absolut";"Total";"AUSL";"Total";2492;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";1.0314;"A";"%"
2012;"SH+IV";"in % SH";"Total";"AUSL";"Total";3.187;"A";"%"
2012;"SH+IV";"in % IV";"Total";"AUSL";"Total";4.3452;"A";"%"
2012;"SH+IV";"Absolut";"Total";"Total";"18-24";449;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.6646;"A";"%"
2012;"SH+IV";"in % SH";"Total";"Total";"18-24";1.7568;"A";"%"
2012;"SH+IV";"in % IV";"Total";"Total";"18-24";5.1621;"A";"%"
2012;"SH+IV";"Absolut";"Total";"Total";"25-39";1580;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.8188;"A";"%"
2012;"SH+IV";"in % SH";"Total";"Total";"25-39";2.6723;"A";"%"
2012;"SH+IV";"in % IV";"Total";"Total";"25-39";4.4992;"A";"%"
2012;"SH+IV";"Absolut";"Total";"Total";"40-54";3151;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";1.3533;"A";"%"
2012;"SH+IV";"in % SH";"Total";"Total";"40-54";5.2542;"A";"%"
2012;"SH+IV";"in % IV";"Total";"Total";"40-54";3.3026;"A";"%"
2012;"SH+IV";"Absolut";"Total";"Total";"55-65";2045;"A";"n"
2012;"SH+IV";"in % aller Beziehenden";"Total";"Total";"55-65";1.2294;"A";"%"
2012;"SH+IV";"in % SH";"Total";"Total";"55-65";8.54;"A";"%"
2012;"SH+IV";"in % IV";"Total";"Total";"55-65";1.8233;"A";"%"
2012;"ALV+SH+IV";"Absolut";"Total";"Total";"Total";100;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"Total";0.0152;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"Total";"Total";"Total";0.0361;"A";"%"
2012;"ALV+SH+IV";"in % SH";"Total";"Total";"Total";0.0593;"A";"%"
2012;"ALV+SH+IV";"in % IV";"Total";"Total";"Total";0.0398;"A";"%"
2012;"ALV+SH+IV";"Absolut";"M";"Total";"Total";57;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"M";"Total";"Total";0.0164;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"M";"Total";"Total";0.0382;"A";"%"
2012;"ALV+SH+IV";"in % SH";"M";"Total";"Total";0.0679;"A";"%"
2012;"ALV+SH+IV";"in % IV";"M";"Total";"Total";0.0423;"A";"%"
2012;"ALV+SH+IV";"Absolut";"F";"Total";"Total";43;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"F";"Total";"Total";0.0138;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"F";"Total";"Total";0.0337;"A";"%"
2012;"ALV+SH+IV";"in % SH";"F";"Total";"Total";0.0508;"A";"%"
2012;"ALV+SH+IV";"in % IV";"F";"Total";"Total";0.0369;"A";"%"
2012;"ALV+SH+IV";"Absolut";"Total";"CH";"Total";60;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"Total";"CH";"Total";0.0144;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"Total";"CH";"Total";0.0386;"A";"%"
2012;"ALV+SH+IV";"in % SH";"Total";"CH";"Total";0.0664;"A";"%"
2012;"ALV+SH+IV";"in % IV";"Total";"CH";"Total";0.0309;"A";"%"
2012;"ALV+SH+IV";"Absolut";"Total";"AUSL";"Total";40;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"Total";"AUSL";"Total";0.0166;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"Total";"AUSL";"Total";0.0329;"A";"%"
2012;"ALV+SH+IV";"in % SH";"Total";"AUSL";"Total";0.0512;"A";"%"
2012;"ALV+SH+IV";"in % IV";"Total";"AUSL";"Total";0.0697;"A";"%"
2012;"ALV+SH+IV";"Absolut";"Total";"Total";"18-24";6;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"18-24";0.0089;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"Total";"Total";"18-24";0.0159;"A";"%"
2012;"ALV+SH+IV";"in % SH";"Total";"Total";"18-24";0.0235;"A";"%"
2012;"ALV+SH+IV";"in % IV";"Total";"Total";"18-24";0.069;"A";"%"
2012;"ALV+SH+IV";"Absolut";"Total";"Total";"25-39";17;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"25-39";0.0088;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"Total";"Total";"25-39";0.0153;"A";"%"
2012;"ALV+SH+IV";"in % SH";"Total";"Total";"25-39";0.0288;"A";"%"
2012;"ALV+SH+IV";"in % IV";"Total";"Total";"25-39";0.0484;"A";"%"
2012;"ALV+SH+IV";"Absolut";"Total";"Total";"40-54";56;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"40-54";0.0241;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"Total";"Total";"40-54";0.0613;"A";"%"
2012;"ALV+SH+IV";"in % SH";"Total";"Total";"40-54";0.0934;"A";"%"
2012;"ALV+SH+IV";"in % IV";"Total";"Total";"40-54";0.0587;"A";"%"
2012;"ALV+SH+IV";"Absolut";"Total";"Total";"55-65";21;"A";"n"
2012;"ALV+SH+IV";"in % aller Beziehenden";"Total";"Total";"55-65";0.0126;"A";"%"
2012;"ALV+SH+IV";"in % ALV";"Total";"Total";"55-65";0.0573;"A";"%"
2012;"ALV+SH+IV";"in % SH";"Total";"Total";"55-65";0.0877;"A";"%"
2012;"ALV+SH+IV";"in % IV";"Total";"Total";"55-65";0.0187;"A";"%"
2011;"Total";"Absolut";"Total";"Total";"Total";25058;"R";"n"
2011;"Total";"in % aller Beziehenden";"Total";"Total";"Total";3.8243;"R";"%"
2011;"Total";"Absolut";"M";"Total";"Total";13018;"R";"n"
2011;"Total";"in % aller Beziehenden";"M";"Total";"Total";3.7879;"R";"%"
2011;"Total";"Absolut";"F";"Total";"Total";12040;"R";"n"
2011;"Total";"in % aller Beziehenden";"F";"Total";"Total";3.8645;"R";"%"
2011;"Total";"Absolut";"Total";"CH";"Total";14632;"R";"n"
2011;"Total";"in % aller Beziehenden";"Total";"CH";"Total";3.4762;"R";"%"
2011;"Total";"Absolut";"Total";"AUSL";"Total";10426;"R";"n"
2011;"Total";"in % aller Beziehenden";"Total";"AUSL";"Total";4.4497;"R";"%"
2011;"Total";"Absolut";"Total";"Total";"18-24";2433;"R";"n"
2011;"Total";"in % aller Beziehenden";"Total";"Total";"18-24";3.6749;"R";"%"
2011;"Total";"Absolut";"Total";"Total";"25-39";8077;"R";"n"
2011;"Total";"in % aller Beziehenden";"Total";"Total";"25-39";4.2506;"R";"%"
2011;"Total";"Absolut";"Total";"Total";"40-54";9720;"R";"n"
2011;"Total";"in % aller Beziehenden";"Total";"Total";"40-54";4.1931;"R";"%"
2011;"Total";"Absolut";"Total";"Total";"55-65";4828;"R";"n"
2011;"Total";"in % aller Beziehenden";"Total";"Total";"55-65";2.8876;"R";"%"
2011;"ALV+SH";"Absolut";"Total";"Total";"Total";14345;"A";"n"
2011;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"Total";2.1893;"A";"%"
2011;"ALV+SH";"in % ALV";"Total";"Total";"Total";5.0107;"A";"%"
2011;"ALV+SH";"in % SH";"Total";"Total";"Total";9.1548;"A";"%"
2011;"ALV+SH";"Absolut";"M";"Total";"Total";7092;"A";"n"
2011;"ALV+SH";"in % aller Beziehenden";"M";"Total";"Total";2.0636;"A";"%"
2011;"ALV+SH";"in % ALV";"M";"Total";"Total";4.6704;"A";"%"
2011;"ALV+SH";"in % SH";"M";"Total";"Total";9.0875;"A";"%"
2011;"ALV+SH";"Absolut";"F";"Total";"Total";7253;"A";"n"
2011;"ALV+SH";"in % aller Beziehenden";"F";"Total";"Total";2.328;"A";"%"
2011;"ALV+SH";"in % ALV";"F";"Total";"Total";5.395;"A";"%"
2011;"ALV+SH";"in % SH";"F";"Total";"Total";9.2216;"A";"%"
2011;"ALV+SH";"Absolut";"Total";"CH";"Total";7413;"A";"n"
2011;"ALV+SH";"in % aller Beziehenden";"Total";"CH";"Total";1.7611;"A";"%"
2011;"ALV+SH";"in % ALV";"Total";"CH";"Total";4.5135;"A";"%"
2011;"ALV+SH";"in % SH";"Total";"CH";"Total";8.6941;"A";"%"
2011;"ALV+SH";"Absolut";"Total";"AUSL";"Total";6932;"A";"n"
2011;"ALV+SH";"in % aller Beziehenden";"Total";"AUSL";"Total";2.9585;"A";"%"
2011;"ALV+SH";"in % ALV";"Total";"AUSL";"Total";5.6796;"A";"%"
2011;"ALV+SH";"in % SH";"Total";"AUSL";"Total";9.7049;"A";"%"
2011;"ALV+SH";"Absolut";"Total";"Total";"18-24";1876;"A";"n"
2011;"ALV+SH";"in % aller Beziehenden";"Total";"Total";"18-24";2.8336;"A";"%"
2011;"ALV+SH";"in % ALV";"Total";"Total";"18-24";4.8326;"A";"%"
