"PERIOD";"COMPONENT";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"UNIT_MEASURE"
2018;"ALV";"Total";"AUSL";"Total";9.1314;"%"
2018;"ALV";"Total";"Total";"18-24";32122;"n"
2018;"ALV";"Total";"Total";"18-24";4.8473;"%"
2018;"ALV";"Total";"Total";"25-39";126416;"n"
2018;"ALV";"Total";"Total";"25-39";7.0842;"%"
2018;"ALV";"Total";"Total";"40-54";103345;"n"
2018;"ALV";"Total";"Total";"40-54";5.51;"%"
2018;"ALV";"Total";"Total";"55-65";48654;"n"
2018;"ALV";"Total";"Total";"55-65";4.045;"%"
2018;"SH";"Total";"Total";"Total";188111;"n"
2018;"SH";"Total";"Total";"Total";3.4044;"%"
2018;"SH";"M";"Total";"Total";95635;"n"
2018;"SH";"M";"Total";"Total";3.4266;"%"
2018;"SH";"F";"Total";"Total";92476;"n"
2018;"SH";"F";"Total";"Total";3.3817;"%"
2018;"SH";"Total";"CH";"Total";99543;"n"
2018;"SH";"Total";"CH";"Total";2.5288;"%"
2018;"SH";"Total";"AUSL";"Total";88568;"n"
2018;"SH";"Total";"AUSL";"Total";5.5732;"%"
2018;"SH";"Total";"Total";"18-24";23754;"n"
2018;"SH";"Total";"Total";"18-24";3.5846;"%"
2018;"SH";"Total";"Total";"25-39";65713;"n"
2018;"SH";"Total";"Total";"25-39";3.6825;"%"
2018;"SH";"Total";"Total";"40-54";65924;"n"
2018;"SH";"Total";"Total";"40-54";3.5149;"%"
2018;"SH";"Total";"Total";"55-65";32720;"n"
2018;"SH";"Total";"Total";"55-65";2.7203;"%"
2018;"IV";"Total";"Total";"Total";233196;"n"
2018;"IV";"Total";"Total";"Total";4.2203;"%"
2018;"IV";"M";"Total";"Total";124319;"n"
2018;"IV";"M";"Total";"Total";4.4544;"%"
2018;"IV";"F";"Total";"Total";108877;"n"
2018;"IV";"F";"Total";"Total";3.9815;"%"
2018;"IV";"Total";"CH";"Total";183724;"n"
2018;"IV";"Total";"CH";"Total";4.6674;"%"
2018;"IV";"Total";"AUSL";"Total";49472;"n"
2018;"IV";"Total";"AUSL";"Total";3.1131;"%"
2018;"IV";"Total";"Total";"18-24";9024;"n"
2018;"IV";"Total";"Total";"18-24";1.3618;"%"
2018;"IV";"Total";"Total";"25-39";37179;"n"
2018;"IV";"Total";"Total";"25-39";2.0835;"%"
2018;"IV";"Total";"Total";"40-54";78495;"n"
2018;"IV";"Total";"Total";"40-54";4.1851;"%"
2018;"IV";"Total";"Total";"55-65";108498;"n"
2018;"IV";"Total";"Total";"55-65";9.0204;"%"
2017;"Total";"Total";"Total";"Total";718635;"n"
2017;"Total";"Total";"Total";"Total";13.0624;"%"
2017;"Total";"M";"Total";"Total";385063;"n"
2017;"Total";"M";"Total";"Total";13.8578;"%"
2017;"Total";"F";"Total";"Total";333572;"n"
2017;"Total";"F";"Total";"Total";12.2506;"%"
2017;"Total";"Total";"CH";"Total";439709;"n"
2017;"Total";"Total";"CH";"Total";11.195;"%"
2017;"Total";"Total";"AUSL";"Total";278926;"n"
2017;"Total";"Total";"AUSL";"Total";17.7229;"%"
2017;"Total";"Total";"Total";"18-24";66575;"n"
2017;"Total";"Total";"Total";"18-24";9.963;"%"
2017;"Total";"Total";"Total";"25-39";226607;"n"
2017;"Total";"Total";"Total";"25-39";12.785;"%"
2017;"Total";"Total";"Total";"40-54";244128;"n"
2017;"Total";"Total";"Total";"40-54";12.9246;"%"
2017;"Total";"Total";"Total";"55-65";181325;"n"
2017;"Total";"Total";"Total";"55-65";15.4709;"%"
2017;"ALV";"Total";"Total";"Total";328025;"n"
2017;"ALV";"Total";"Total";"Total";5.9624;"%"
2017;"ALV";"M";"Total";"Total";181364;"n"
2017;"ALV";"M";"Total";"Total";6.527;"%"
2017;"ALV";"F";"Total";"Total";146661;"n"
2017;"ALV";"F";"Total";"Total";5.3862;"%"
2017;"ALV";"Total";"CH";"Total";175643;"n"
2017;"ALV";"Total";"CH";"Total";4.4719;"%"
2017;"ALV";"Total";"AUSL";"Total";152382;"n"
2017;"ALV";"Total";"AUSL";"Total";9.6823;"%"
2017;"ALV";"Total";"Total";"18-24";36437;"n"
2017;"ALV";"Total";"Total";"18-24";5.4528;"%"
2017;"ALV";"Total";"Total";"25-39";134383;"n"
2017;"ALV";"Total";"Total";"25-39";7.5818;"%"
2017;"ALV";"Total";"Total";"40-54";109085;"n"
2017;"ALV";"Total";"Total";"40-54";5.7752;"%"
2017;"ALV";"Total";"Total";"55-65";48120;"n"
2017;"ALV";"Total";"Total";"55-65";4.1057;"%"
2017;"SH";"Total";"Total";"Total";192305;"n"
2017;"SH";"Total";"Total";"Total";3.4955;"%"
2017;"SH";"M";"Total";"Total";98142;"n"
2017;"SH";"M";"Total";"Total";3.532;"%"
2017;"SH";"F";"Total";"Total";94163;"n"
2017;"SH";"F";"Total";"Total";3.4582;"%"
2017;"SH";"Total";"CH";"Total";100954;"n"
2017;"SH";"Total";"CH";"Total";2.5703;"%"
2017;"SH";"Total";"AUSL";"Total";91351;"n"
2017;"SH";"Total";"AUSL";"Total";5.8044;"%"
2017;"SH";"Total";"Total";"18-24";25147;"n"
2017;"SH";"Total";"Total";"18-24";3.7633;"%"
2017;"SH";"Total";"Total";"25-39";68111;"n"
2017;"SH";"Total";"Total";"25-39";3.8428;"%"
2017;"SH";"Total";"Total";"40-54";67086;"n"
2017;"SH";"Total";"Total";"40-54";3.5517;"%"
2017;"SH";"Total";"Total";"55-65";31961;"n"
2017;"SH";"Total";"Total";"55-65";2.727;"%"
2017;"IV";"Total";"Total";"Total";234089;"n"
2017;"IV";"Total";"Total";"Total";4.255;"%"
2017;"IV";"M";"Total";"Total";125143;"n"
2017;"IV";"M";"Total";"Total";4.5037;"%"
2017;"IV";"F";"Total";"Total";108946;"n"
2017;"IV";"F";"Total";"Total";4.0011;"%"
2017;"IV";"Total";"CH";"Total";183846;"n"
2017;"IV";"Total";"CH";"Total";4.6807;"%"
2017;"IV";"Total";"AUSL";"Total";50243;"n"
2017;"IV";"Total";"AUSL";"Total";3.1924;"%"
2017;"IV";"Total";"Total";"18-24";8791;"n"
2017;"IV";"Total";"Total";"18-24";1.3156;"%"
2017;"IV";"Total";"Total";"25-39";36426;"n"
2017;"IV";"Total";"Total";"25-39";2.0551;"%"
2017;"IV";"Total";"Total";"40-54";80860;"n"
2017;"IV";"Total";"Total";"40-54";4.2809;"%"
2017;"IV";"Total";"Total";"55-65";108012;"n"
2017;"IV";"Total";"Total";"55-65";9.2157;"%"
2016;"Total";"Total";"Total";"Total";717583;"n"
2016;"Total";"Total";"Total";"Total";13.1119;"%"
2016;"Total";"M";"Total";"Total";385218;"n"
