"PERIOD";"COMPONENT";"GENDER";"POPULATION_GROUP";"AGE";"VALUE";"UNIT_MEASURE"
2013;"IV";"Total";"Total";"Total";247020;"n"
2013;"IV";"Total";"Total";"Total";4.6396;"%"
2013;"IV";"M";"Total";"Total";132243;"n"
2013;"IV";"M";"Total";"Total";4.9288;"%"
2013;"IV";"F";"Total";"Total";114777;"n"
2013;"IV";"F";"Total";"Total";4.3458;"%"
2013;"IV";"Total";"CH";"Total";191095;"n"
2013;"IV";"Total";"CH";"Total";4.9158;"%"
2013;"IV";"Total";"AUSL";"Total";55925;"n"
2013;"IV";"Total";"AUSL";"Total";3.8925;"%"
2013;"IV";"Total";"Total";"18-24";8764;"n"
2013;"IV";"Total";"Total";"18-24";1.2885;"%"
2013;"IV";"Total";"Total";"25-39";34913;"n"
2013;"IV";"Total";"Total";"25-39";2.0862;"%"
2013;"IV";"Total";"Total";"40-54";92817;"n"
2013;"IV";"Total";"Total";"40-54";4.8979;"%"
2013;"IV";"Total";"Total";"55-65";110526;"n"
2013;"IV";"Total";"Total";"55-65";10.2774;"%"
2012;"Total";"Total";"Total";"Total";659712;"n"
2012;"Total";"Total";"Total";"Total";12.5242;"%"
2012;"Total";"M";"Total";"Total";347896;"n"
2012;"Total";"M";"Total";"Total";13.1129;"%"
2012;"Total";"F";"Total";"Total";311816;"n"
2012;"Total";"F";"Total";"Total";11.9269;"%"
2012;"Total";"Total";"CH";"Total";418087;"n"
2012;"Total";"Total";"CH";"Total";10.7742;"%"
2012;"Total";"Total";"AUSL";"Total";241625;"n"
2012;"Total";"Total";"AUSL";"Total";17.4202;"%"
2012;"Total";"Total";"Total";"18-24";67559;"n"
2012;"Total";"Total";"Total";"18-24";9.9377;"%"
2012;"Total";"Total";"Total";"25-39";192972;"n"
2012;"Total";"Total";"Total";"25-39";11.7272;"%"
2012;"Total";"Total";"Total";"40-54";232838;"n"
2012;"Total";"Total";"Total";"40-54";12.364;"%"
2012;"Total";"Total";"Total";"55-65";166343;"n"
2012;"Total";"Total";"Total";"55-65";15.7082;"%"
2012;"ALV";"Total";"Total";"Total";276953;"n"
2012;"ALV";"Total";"Total";"Total";5.2578;"%"
2012;"ALV";"M";"Total";"Total";149241;"n"
2012;"ALV";"M";"Total";"Total";5.6252;"%"
2012;"ALV";"F";"Total";"Total";127712;"n"
2012;"ALV";"F";"Total";"Total";4.885;"%"
2012;"ALV";"Total";"CH";"Total";155246;"n"
2012;"ALV";"Total";"CH";"Total";4.0007;"%"
2012;"ALV";"Total";"AUSL";"Total";121707;"n"
2012;"ALV";"Total";"AUSL";"Total";8.7746;"%"
2012;"ALV";"Total";"Total";"18-24";37699;"n"
2012;"ALV";"Total";"Total";"18-24";5.5454;"%"
2012;"ALV";"Total";"Total";"25-39";111337;"n"
2012;"ALV";"Total";"Total";"25-39";6.7661;"%"
2012;"ALV";"Total";"Total";"40-54";91283;"n"
2012;"ALV";"Total";"Total";"40-54";4.8472;"%"
2012;"ALV";"Total";"Total";"55-65";36634;"n"
2012;"ALV";"Total";"Total";"55-65";3.4594;"%"
2012;"SH";"Total";"Total";"Total";168601;"n"
2012;"SH";"Total";"Total";"Total";3.2008;"%"
2012;"SH";"M";"Total";"Total";83948;"n"
2012;"SH";"M";"Total";"Total";3.1642;"%"
2012;"SH";"F";"Total";"Total";84653;"n"
2012;"SH";"F";"Total";"Total";3.238;"%"
2012;"SH";"Total";"CH";"Total";90408;"n"
2012;"SH";"Total";"CH";"Total";2.3298;"%"
2012;"SH";"Total";"AUSL";"Total";78193;"n"
2012;"SH";"Total";"AUSL";"Total";5.6374;"%"
2012;"SH";"Total";"Total";"18-24";25558;"n"
2012;"SH";"Total";"Total";"18-24";3.7595;"%"
2012;"SH";"Total";"Total";"25-39";59126;"n"
2012;"SH";"Total";"Total";"25-39";3.5932;"%"
2012;"SH";"Total";"Total";"40-54";59971;"n"
2012;"SH";"Total";"Total";"40-54";3.1845;"%"
2012;"SH";"Total";"Total";"55-65";23946;"n"
2012;"SH";"Total";"Total";"55-65";2.2613;"%"
2012;"IV";"Total";"Total";"Total";251388;"n"
2012;"IV";"Total";"Total";"Total";4.7724;"%"
2012;"IV";"M";"Total";"Total";134895;"n"
2012;"IV";"M";"Total";"Total";5.0844;"%"
2012;"IV";"F";"Total";"Total";116493;"n"
2012;"IV";"F";"Total";"Total";4.4558;"%"
2012;"IV";"Total";"CH";"Total";194038;"n"
2012;"IV";"Total";"CH";"Total";5.0004;"%"
2012;"IV";"Total";"AUSL";"Total";57350;"n"
2012;"IV";"Total";"AUSL";"Total";4.1347;"%"
2012;"IV";"Total";"Total";"18-24";8698;"n"
2012;"IV";"Total";"Total";"18-24";1.2794;"%"
2012;"IV";"Total";"Total";"25-39";35117;"n"
2012;"IV";"Total";"Total";"25-39";2.1341;"%"
2012;"IV";"Total";"Total";"40-54";95411;"n"
2012;"IV";"Total";"Total";"40-54";5.0664;"%"
2012;"IV";"Total";"Total";"55-65";112162;"n"
2012;"IV";"Total";"Total";"55-65";10.5918;"%"
2011;"Total";"Total";"Total";"Total";655231;"n"
2011;"Total";"Total";"Total";"Total";12.5496;"%"
2011;"Total";"M";"Total";"Total";343677;"n"
2011;"Total";"M";"Total";"Total";13.0805;"%"
2011;"Total";"F";"Total";"Total";311554;"n"
2011;"Total";"F";"Total";"Total";12.0118;"%"
2011;"Total";"Total";"CH";"Total";420921;"n"
2011;"Total";"Total";"CH";"Total";10.859;"%"
2011;"Total";"Total";"AUSL";"Total";234310;"n"
2011;"Total";"Total";"AUSL";"Total";17.4222;"%"
2011;"Total";"Total";"Total";"18-24";66206;"n"
2011;"Total";"Total";"Total";"18-24";9.7794;"%"
2011;"Total";"Total";"Total";"25-39";190022;"n"
2011;"Total";"Total";"Total";"25-39";11.6684;"%"
2011;"Total";"Total";"Total";"40-54";231808;"n"
2011;"Total";"Total";"Total";"40-54";12.3974;"%"
2011;"Total";"Total";"Total";"55-65";167195;"n"
2011;"Total";"Total";"Total";"55-65";15.987;"%"
2011;"ALV";"Total";"Total";"Total";286289;"n"
2011;"ALV";"Total";"Total";"Total";5.4833;"%"
2011;"ALV";"M";"Total";"Total";151849;"n"
2011;"ALV";"M";"Total";"Total";5.7794;"%"
2011;"ALV";"F";"Total";"Total";134440;"n"
2011;"ALV";"F";"Total";"Total";5.1833;"%"
2011;"ALV";"Total";"CH";"Total";164239;"n"
2011;"ALV";"Total";"CH";"Total";4.2371;"%"
2011;"ALV";"Total";"AUSL";"Total";122050;"n"
2011;"ALV";"Total";"AUSL";"Total";9.0751;"%"
2011;"ALV";"Total";"Total";"18-24";38820;"n"
2011;"ALV";"Total";"Total";"18-24";5.7342;"%"
2011;"ALV";"Total";"Total";"25-39";113630;"n"
2011;"ALV";"Total";"Total";"25-39";6.9775;"%"
2011;"ALV";"Total";"Total";"40-54";94242;"n"
2011;"ALV";"Total";"Total";"40-54";5.0402;"%"
2011;"ALV";"Total";"Total";"55-65";39597;"n"
2011;"ALV";"Total";"Total";"55-65";3.7862;"%"
2011;"SH";"Total";"Total";"Total";156693;"n"
2011;"SH";"Total";"Total";"Total";3.0011;"%"
2011;"SH";"M";"Total";"Total";78041;"n"
2011;"SH";"M";"Total";"Total";2.9703;"%"
2011;"SH";"F";"Total";"Total";78652;"n"
2011;"SH";"F";"Total";"Total";3.0324;"%"
2011;"SH";"Total";"CH";"Total";85265;"n"
2011;"SH";"Total";"CH";"Total";2.1997;"%"
2011;"SH";"Total";"AUSL";"Total";71428;"n"
2011;"SH";"Total";"AUSL";"Total";5.3111;"%"
2011;"SH";"Total";"Total";"18-24";23842;"n"
2011;"SH";"Total";"Total";"18-24";3.5217;"%"
2011;"SH";"Total";"Total";"25-39";55209;"n"
2011;"SH";"Total";"Total";"25-39";3.3902;"%"
2011;"SH";"Total";"Total";"40-54";55991;"n"
2011;"SH";"Total";"Total";"40-54";2.9945;"%"
2011;"SH";"Total";"Total";"55-65";21651;"n"
2011;"SH";"Total";"Total";"55-65";2.0702;"%"
2011;"IV";"Total";"Total";"Total";254817;"n"
2011;"IV";"Total";"Total";"Total";4.8805;"%"
2011;"IV";"M";"Total";"Total";137091;"n"
2011;"IV";"M";"Total";"Total";5.2177;"%"
2011;"IV";"F";"Total";"Total";117726;"n"
2011;"IV";"F";"Total";"Total";4.5389;"%"
2011;"IV";"Total";"CH";"Total";196119;"n"
2011;"IV";"Total";"CH";"Total";5.0595;"%"
2011;"IV";"Total";"AUSL";"Total";58698;"n"
2011;"IV";"Total";"AUSL";"Total";4.3645;"%"
2011;"IV";"Total";"Total";"18-24";8408;"n"
2011;"IV";"Total";"Total";"18-24";1.242;"%"
2011;"IV";"Total";"Total";"25-39";35429;"n"
2011;"IV";"Total";"Total";"25-39";2.1755;"%"
2011;"IV";"Total";"Total";"40-54";97705;"n"
2011;"IV";"Total";"Total";"40-54";5.2254;"%"
2011;"IV";"Total";"Total";"55-65";113275;"n"
2011;"IV";"Total";"Total";"55-65";10.8313;"%"
2010;"Total";"Total";"Total";"Total";684030;"n"
2010;"Total";"Total";"Total";"Total";13.2256;"%"
2010;"Total";"M";"Total";"Total";364544;"n"
2010;"Total";"M";"Total";"Total";14.0116;"%"
2010;"Total";"F";"Total";"Total";319486;"n"
2010;"Total";"F";"Total";"Total";12.43;"%"
2010;"Total";"Total";"CH";"Total";441919;"n"
2010;"Total";"Total";"CH";"Total";11.4281;"%"
2010;"Total";"Total";"AUSL";"Total";242111;"n"
2010;"Total";"Total";"AUSL";"Total";18.5513;"%"
2010;"Total";"Total";"Total";"18-24";73712;"n"
2010;"Total";"Total";"Total";"18-24";10.9457;"%"
2010;"Total";"Total";"Total";"25-39";203306;"n"
2010;"Total";"Total";"Total";"25-39";12.588;"%"
2010;"Total";"Total";"Total";"40-54";239420;"n"
2010;"Total";"Total";"Total";"40-54";12.9325;"%"
2010;"Total";"Total";"Total";"55-65";167592;"n"
2010;"Total";"Total";"Total";"55-65";16.2362;"%"
2010;"ALV";"Total";"Total";"Total";320150;"n"
2010;"ALV";"Total";"Total";"Total";6.19;"%"
2010;"ALV";"M";"Total";"Total";174687;"n"
2010;"ALV";"M";"Total";"Total";6.7143;"%"
2010;"ALV";"F";"Total";"Total";145463;"n"
2010;"ALV";"F";"Total";"Total";5.6594;"%"
2010;"ALV";"Total";"CH";"Total";187518;"n"
2010;"ALV";"Total";"CH";"Total";4.8493;"%"
2010;"ALV";"Total";"AUSL";"Total";132632;"n"
2010;"ALV";"Total";"AUSL";"Total";10.1627;"%"
2010;"ALV";"Total";"Total";"18-24";47720;"n"
2010;"ALV";"Total";"Total";"18-24";7.0861;"%"
2010;"ALV";"Total";"Total";"25-39";129056;"n"
2010;"ALV";"Total";"Total";"25-39";7.9907;"%"
2010;"ALV";"Total";"Total";"40-54";102581;"n"
2010;"ALV";"Total";"Total";"40-54";5.541;"%"
2010;"ALV";"Total";"Total";"55-65";40793;"n"
2010;"ALV";"Total";"Total";"55-65";3.952;"%"
2010;"SH";"Total";"Total";"Total";147155;"n"
2010;"SH";"Total";"Total";"Total";2.8452;"%"
2010;"SH";"M";"Total";"Total";73447;"n"
2010;"SH";"M";"Total";"Total";2.823;"%"
2010;"SH";"F";"Total";"Total";73708;"n"
2010;"SH";"F";"Total";"Total";2.8677;"%"
2010;"SH";"Total";"CH";"Total";80402;"n"
2010;"SH";"Total";"CH";"Total";2.0792;"%"
2010;"SH";"Total";"AUSL";"Total";66753;"n"
2010;"SH";"Total";"AUSL";"Total";5.1148;"%"
2010;"SH";"Total";"Total";"18-24";22585;"n"
2010;"SH";"Total";"Total";"18-24";3.3537;"%"
2010;"SH";"Total";"Total";"25-39";52478;"n"
2010;"SH";"Total";"Total";"25-39";3.2493;"%"
2010;"SH";"Total";"Total";"40-54";52554;"n"
2010;"SH";"Total";"Total";"40-54";2.8388;"%"
2010;"SH";"Total";"Total";"55-65";19538;"n"
2010;"SH";"Total";"Total";"55-65";1.8928;"%"
2010;"IV";"Total";"Total";"Total";257697;"n"
2010;"IV";"Total";"Total";"Total";4.9825;"%"
2010;"IV";"M";"Total";"Total";138859;"n"
2010;"IV";"M";"Total";"Total";5.3372;"%"
2010;"IV";"F";"Total";"Total";118838;"n"
2010;"IV";"F";"Total";"Total";4.6235;"%"
2010;"IV";"Total";"CH";"Total";197910;"n"
2010;"IV";"Total";"CH";"Total";5.118;"%"
2010;"IV";"Total";"AUSL";"Total";59787;"n"
2010;"IV";"Total";"AUSL";"Total";4.5811;"%"
2010;"IV";"Total";"Total";"18-24";8063;"n"
2010;"IV";"Total";"Total";"18-24";1.1973;"%"
2010;"IV";"Total";"Total";"25-39";35768;"n"
2010;"IV";"Total";"Total";"25-39";2.2146;"%"
2010;"IV";"Total";"Total";"40-54";99752;"n"
2010;"IV";"Total";"Total";"40-54";5.3882;"%"
2010;"IV";"Total";"Total";"55-65";114114;"n"
2010;"IV";"Total";"Total";"55-65";11.0553;"%"

