"PERIOD_REF";"COMPONENT";"PERIOD_OBS";"GENDER";"POPULATION_GROUP";"VALUE";"UNIT_MEASURE"
2010;"IV";2010;"Total";"AUSL";59787;"n"
2010;"IV";2010;"Total";"AUSL";100;"%"
2010;"IV";2011;"Total";"Total";239342;"n"
2010;"IV";2011;"Total";"Total";92.8773;"%"
2010;"IV";2011;"M";"Total";128449;"n"
2010;"IV";2011;"M";"Total";92.5032;"%"
2010;"IV";2011;"F";"Total";110893;"n"
2010;"IV";2011;"F";"Total";93.3144;"%"
2010;"IV";2011;"Total";"CH";183694;"n"
2010;"IV";2011;"Total";"CH";92.8169;"%"
2010;"IV";2011;"Total";"AUSL";55648;"n"
2010;"IV";2011;"Total";"AUSL";93.0771;"%"
2010;"IV";2012;"Total";"Total";221764;"n"
2010;"IV";2012;"Total";"Total";86.0561;"%"
2010;"IV";2012;"M";"Total";118400;"n"
2010;"IV";2012;"M";"Total";85.2663;"%"
2010;"IV";2012;"F";"Total";103364;"n"
2010;"IV";2012;"F";"Total";86.9789;"%"
2010;"IV";2012;"Total";"CH";170339;"n"
2010;"IV";2012;"Total";"CH";86.0689;"%"
2010;"IV";2012;"Total";"AUSL";51425;"n"
2010;"IV";2012;"Total";"AUSL";86.0137;"%"
2010;"IV";2013;"Total";"Total";205201;"n"
2010;"IV";2013;"Total";"Total";79.6288;"%"
2010;"IV";2013;"M";"Total";109099;"n"
2010;"IV";2013;"M";"Total";78.5682;"%"
2010;"IV";2013;"F";"Total";96102;"n"
2010;"IV";2013;"F";"Total";80.8681;"%"
2010;"IV";2013;"Total";"CH";157820;"n"
2010;"IV";2013;"Total";"CH";79.7433;"%"
2010;"IV";2013;"Total";"AUSL";47381;"n"
2010;"IV";2013;"Total";"AUSL";79.2497;"%"

